189.713498	76.143496
190.574997	76.801086
191.448455	74.883964
192.676676	71.041373
194.271621	62.698599
195.865070	54.677664
196.594031	46.642817
200.392300	10.655272
201.651913	0.054059
202.744606	-11.837292
203.817868	-19.544735
204.531881	-24.361191
206.290754	-30.770148
208.025710	-32.029680
209.583285	-32.326477
210.620671	-32.309782
211.829461	-31.968465
213.209653	-31.302527
214.250029	-31.929511
215.810593	-32.869986
217.372652	-34.132300
219.107608	-35.391831
221.182381	-35.358442
223.245196	-32.750340
225.992127	-28.521912
227.697188	-23.344662
229.239815	-20.423068
230.084871	-16.225248
230.937401	-13.636623
232.648441	-9.746729
234.186583	-5.859618
236.943978	-3.884064
239.528476	-1.911292
242.117458	-0.904038
243.843445	-0.232535
245.916723	0.122694
247.814114	1.118818
249.371689	0.822021
249.714495	1.471264
249.714495	1.471264
