189.875932	-33.287356
191.442475	-35.515188
193.013503	-38.708536
194.927336	-41.252642
196.660798	-42.190334
198.215383	-41.843453
199.583617	-38.602802
200.601571	-34.402199
201.448122	-30.526218
202.294674	-26.650237
203.314122	-22.771473
203.822352	-20.510252
204.667409	-16.312432
205.166669	-12.120176
205.843312	-8.890656
207.728745	-5.319818
209.442774	-2.073603
211.505589	0.534499
213.914199	3.148167
215.811590	4.144291
217.539072	4.493955
219.440947	4.524562
221.690113	4.238895
223.939278	3.953228
225.675730	2.371857
228.790878	1.778264
232.081915	0.543774
234.502483	0.582729
237.097444	0.302627
240.731286	-0.282619
243.843445	-0.232535
246.264014	-0.193580
247.820093	-0.168538
